id,user,date,timestamp,commentText,likes
Ugx9HqBdIpcvR2E29qp4AaABAg,Top Trendz,1 year ago,1529105243444,"Hey guys, There is the offer for all of you. I will be giving 5 Jio phones to the people .All you have do it subscribe to our channel and comment your favorite moment in this ad . Results will be announced on 21st May. HURRY UP. JIO dhan dhana dhan.",27
UgyVv1YCeV5wbYRhK-94AaABAg,VINOD KUMAR,3 weeks ago,1558826843448,Msd ğŸ˜ğŸ˜,0
UgwcKk3AUCA60EjT5RR4AaABAg,Kavitha C,3 weeks ago,1558826843449,Deepika so cute,0
UgwGEomR3jpOwYFUw9J4AaABAg,Mahanehdan Merlin,1 month ago,1557962843452,Hardik is looking smart,0
UgyQ60ysyTjaICBdPEF4AaABAg,Chandra chatterjee,1 month ago,1557962843455,Any One see 2019,0
Ugw4VCkg568icQ0Wxd54AaABAg,Sasi Sasi,1 month ago,1557962843457,I love king kohli and pant,1
UgyMPMozjFbJbq_ovL54AaABAg,Hepsi Nalladhas,1 month ago,1557962843460,Rcb,0
UgwYUePSxqsF-USzSOZ4AaABAg,Raja Lingam,1 month ago,1557962843463,virat nice dance step,0
Ugy6IK_rqJHNShrx-wt4AaABAg,Monty Melvin Belly,1 month ago,1557962843464,Vk Bhaiâ¤ï¸,0
UgzCmJNqNx9Dbox1Lax4AaABAg,MAYANK BISHT,1 month ago,1557962843466,shrayas iyyer,0
Ugz47yu0XYwq4MrRYBt4AaABAg,gowtham sreekar Vj,1 month ago,1557962843467,Csk fansğŸ˜˜ğŸ˜˜,0
UgwC9Lc0W_cWoJhWQ6J4AaABAg,MARI GAMING,2 months ago,1555370843469,Chutiya networks in world,0
UgzCbH27XdQpSz5wNrp4AaABAg,Archana Srivastava,2 months ago,1555370843471,0:51 Deepika Virat look so good ğŸ˜ they should star in an ad together ğŸ˜ğŸ˜,0
UgyvVMgeiVdphTAmq9N4AaABAg,janakiram gopaldas,2 months ago,1555370843472,I love this song dance steps,0
Ugw5K3Gyiq_Clpc5yvx4AaABAg,pra kuna6789,2 months ago,1555370843474,SRH,0
UgxrScCXazI4qYYaxVx4AaABAg,Rohit Roy,2 months ago,1555370843475,Csk dance was great,0
UgwRxX-WUyAXqstVgr54AaABAg,Linet D'souza,2 months ago,1555370843477,Loved. ItğŸ˜˜ğŸ˜˜ğŸ‘‡,0
UgyVX7JWGr6a0A_u4Tl4AaABAg,satyaki rout,2 months ago,1555370843479,i love  this advertise because virat .love u virat,1
UgyvyhZ4lAObG6o29eF4AaABAg,Roshan Kumar,2 months ago,1555370843480,Hhh,1
Ugyop9E7qlUZMkbYur54AaABAg,Mayank Doshi,2 months ago,1555370843482,RCB is best team,0
UgxwqrxvcxXGOxz0YzB4AaABAg,Naman Bhardwaj,2 months ago,1555370846425,Best Ad for IPL ever â¤â¤â¤â¤,0
UgzWKBRKVoRzGoDXWhp4AaABAg,Love Soul,2 months ago,1555370846427,ROHIT is THE BEST. Mumbai Indians Meri Jaan.  Gautam gambhir is also 4th best,0
Ugwfox7UGa18lwtPyAh4AaABAg,Sachin Pawar,2 months ago,1555370846428,ğŸ‘ŒğŸ‘ŒğŸ‘ŒğŸ‘Œ,0
UgwiOm3U0w712ZlWUj54AaABAg,kalpana kumaresh,2 months ago,1555370846430,Anyone in 2019,0
Ugw-W7_RAMlfVHJGmFB4AaABAg,learn with merrow,3 months ago,1552692446432,Rashid khan is missing ğŸ˜â¤ï¸ğŸ˜,1
Ugw-2bFKkGwwFv4gbnJ4AaABAg,Monalohi Monalohi,3 months ago,1552692446433,Rcb dance thaan Nalla iruku,0
Ugwx-ldqNxjwtVhs2cl4AaABAg,Chandra Alagarsamy,3 months ago,1552692446435,Virat mr.handsome so cuteğŸ˜ğŸ’‹ğŸ’‹ğŸ’‹,0
Ugyvf5jzwO5TprZRfZN4AaABAg,Sathya Narayana,3 months ago,1552692446436,Super,0
UgwIp7ffEBCt7fODXB14AaABAg,Sathya Narayana,3 months ago,1552692446438,Super,0
Ugy98N_Q0KoKUNAxIkR4AaABAg,Paawan Mishra,3 months ago,1552692446440,Virat Kohli ğŸ’•ğŸ’•ğŸ’•,0
Ugxy_RhmxqyMMIOktJt4AaABAg,anushree ammu,3 months ago,1552692446441,king kohli.,0
UgxORT-BWFb6lUMLu9x4AaABAg,pic video,4 months ago,1550273246443,Ooo jio,0
UgwwUPFJNzydlgaAMr14AaABAg,pic video,4 months ago,1550273246445,I love jio,0
Ugy0vIpnUwD4IzCk-AJ4AaABAg,Arvind verma,5 months ago,1547594846446,king kohli,0
UgwMcXa7Znn_ugXb2A54AaABAg,Rathod Karan Sing,5 months ago,1547594846448,Super duper,0
UgySPx88-_3tspFL4H14AaABAg,A Kavya,5 months ago,1547594846449,Dhoni super  any body Dhoni fans?,0
UgxEjtZPkhPNU8qGVep4AaABAg,A Kavya,5 months ago,1547594846451,Dhoni  supe? r  any body  dhoni fans,0
UgzXXQHxmhCROWvt4-14AaABAg,Kodiganti Nagaraju,5 months ago,1547594846452,My favourite advice ment,0
UgxTDxYNIN6BLaNeQdd4AaABAg,charan .S.Reddy,6 months ago,1544916446454,virat jio dhan dana dhan,0
UgwEjg1zzb3yWQu2f1B4AaABAg,kamalesh perumalsamy,7 months ago,1542324446456,I support kings 11 Punjab because of Ashwin ravichandran.. love u ashwin,1
UgzWSzk3ph9v3RHpk694AaABAg,Siva Rayavarapu,8 months ago,1539646048905,Jio network slow avuthundi,0
UgwciVcNbR729VCN8_J4AaABAg,ahida mailamoottil,9 months ago,1537054048907,RCB RCB next saala cup namde,0
UgzUzC8teDWGhvwWw4p4AaABAg,Neha Mishra,9 months ago,1537054048908,garda hai yar,0
UgwLaVoeN--qES0cKUJ4AaABAg,Priyanka Chaudhary,9 months ago,1537054048910,I love the jio very much jio is the best network,0
Ugw4YoN2VS8gl7gUR3t4AaABAg,C.ALBERT ALBI,9 months ago,1537054048911,Very  very  nice,0
Ugyb6nHO5FoD-ismVjZ4AaABAg,A Rosy,9 months ago,1537054048913,CSK fans hit like,15
Ugx05Uzi2lcabihXwRR4AaABAg,Chetan Ghorpade,10 months ago,1534375648914,Jio network is getting poor day by day,0
Ugy9ghbEkGCn58b-W1x4AaABAg,Navsirjit School Dumra Rural,10 months ago,1534375648916,Vivo IPL 2018 camera photo M's dhoi,0
UgwuZzS5pYmfyjYu16B4AaABAg,Shiva Ram,11 months ago,1531697248917,Deepika Padukone ğŸ’™ğŸ’ğŸ’ğŸ’,0
UgwspUp69JtujYZ9OiJ4AaABAg,Bhai the gangster live stream,11 months ago,1531697248919,I love this song,0
UgyuMPwFVsyNULf07WR4AaABAg,zeeshan haider,11 months ago,1531697248920,Jio digital life,0
Ugy2iyQ6jtfQKUpTRrB4AaABAg,be satisfied khan,11 months ago,1531697248922,Ami kkr,0
UgwkGit4kBSdH0GbACd4AaABAg,anita Jain,1 year ago,1529105248924,Csk is a best team,0
Ugwvl0rOOodqXHWw6vB4AaABAg,milky bÃ¸Ã½ brijesh,1 year ago,1529105248925,hyd shikar dhawan,1
Ugy-hfDwyBUZbf2wuEx4AaABAg,Munna Kumar,1 year ago,1529105248927,J,0
UgxRTnpNP4T1CH0_Eod4AaABAg,shuja funny and dance video abid,1 year ago,1529105248928,shuja abid,0
Ugz8xNWoeh9woWg4c_B4AaABAg,Sahana parvatikar,1 year ago,1529105248929,Hardik Pandya the best stylish and super player.,7
UgyLdrHkrfkiAiYyhBV4AaABAg,Shravani Chavan,1 year ago,1529105248931,"Ya it's true my favorite team is CSK 
And this time they have won,",3
UgxxV9QRuseFZZfAFmB4AaABAg,Fathima Rifaza,1 year ago,1529105248934,I hate goutham gambeer,0
UgwXc3X1DkSFJ9gL7LR4AaABAg,Ã‡hrÃ¬s Ä’vÃ£Ã±s,1 year ago,1529105248935,Dhoni dance in awesome,0
UgzaYkZsVTUeivDWOgB4AaABAg,Looki Looki,1 year ago,1529105252068,srhdaaaa,0
UgxhWV-Ho6WK22yKrZ94AaABAg,Kanchan Rai,1 year ago,1529105252070,love you dhoni and raina ğŸ˜™ğŸ˜™ğŸ˜™,0
UgzNVPTzTlO2WaKSWF94AaABAg,Papa Mate,1 year ago,1529105252072,Oh Hardik ğŸ˜€ğŸ˜€ğŸ˜€ğŸ˜€ğŸ¤—ğŸ¤—,0
UgwapJsUTLdV61JqR1B4AaABAg,Aansha Laneesh,1 year ago,1529105252073,Mumbai Indians,0
UgycjPpPzuKb8HU0_ml4AaABAg,My Marnia,1 year ago,1529105252075,Ohh Dhoni and Virat you are looking soooo cute,0
UgwkaxpLWFCipK5U0vZ4AaABAg,Super Subatheeban,1 year ago,1529105252076,virat best,0
UgzAUQ4yUanXg_ay_CZ4AaABAg,Maniraj Preetam,1 year ago,1529105252078,gjkjjb my jiiiiiiiooooo,0
Ugw3haIeuW5tRgRVYUd4AaABAg,Ibrahim Shaikh,1 year ago,1529105252079,NYC ADD,0
UgzKDMMsThYjXN_4Axl4AaABAg,Panda,1 year ago,1529105252081,DhoniğŸ˜ğŸ˜â¤â¤,0
Ugy31ck33QP_G9oQb9x4AaABAg,banajo Vyas keval,1 year ago,1529105252082,Hi,0
UgzcLpxjk9yh6NU8Uzt4AaABAg,Jugal Vyas,1 year ago,1529105252084,Very video,0
UgyKiqIkMHEHVoZTfEt4AaABAg,Smita Chandorkar,1 year ago,1529105252085,I luv this song,0
Ugyp3xXHVafI21flNx94AaABAg,varsha Dewangan,1 year ago,1529105252087,RSBğŸ‘ŒğŸ‘Œ,0
Ugw4sOmXmIB1WR9ca814AaABAg,MANGIPUDI LALITHA KUMARI,1 year ago,1529105252088,CSK best,5
UgyVAh7U1GG0swoijMh4AaABAg,K Shreekrishna Bhat K Shreekrishna Bhat,1 year ago,1529105252203,CSK,0
Ugwe5VV2gruWca2aCPl4AaABAg,Afiya Muneer,1 year ago,1529105252205,i love RCB......half kg.....chahal.......virat........and.......woooowwww,0
UgxyC3ZxZD8eJTtzAJx4AaABAg,Raju Raju,1 year ago,1529105252221,raju harisitha,0
UgzGynxG3GElDCbZ4Nt4AaABAg,Raju Raju,1 year ago,1529105252231,raju harisitha,0
UgzXoA4Kz37U0qlRSol4AaABAg,cricket freak,1 year ago,1529105252233,Virat is incomplete without abd,0
UgyPqgqzeFgPB4KUZbF4AaABAg,cricket freak,1 year ago,1529105252238,Abd is missing..,0
UgzXhPd170RhQNC-e6B4AaABAg,Mata Qtd,1 year ago,1529105253786,Dhoni is hero and his team,0
Ugz7YPGpHardcgVHkp94AaABAg,Jill Joshi,1 year ago,1529105253788,MI and RCB ğŸ˜ğŸ˜,0
Ugw2KjptnUAvv_kKVIF4AaABAg,manjula pandian,1 year ago,1529105253789,0:37 I loved it mahirat,0
UgxfujUrR-LMnmCQRBh4AaABAg,Moriram Das,1 year ago,1529105253791,HA,0
UgyenCZaSWIYNQBX_CF4AaABAg,Sasi Kumar,1 year ago,1529105253792,CSKğŸ‘ğŸ‘ğŸ‘,0
UgyNyVYwh3yGqhxg8H94AaABAg,Kapil Japan,1 year ago,1529105253794,So  nice,0
Ugy6T-yR_xDuTnAusOZ4AaABAg,Parimala Prakash,1 year ago,1529105253795,Really awesome DHONI is superb and hardik pandya is really gud player,1
UgzwoKkoR6v5aKbvWid4AaABAg,Varalakshmi B,1 year ago,1529105253797,dhoni thalağŸ’™,0
UgywjO1HnC8FRJb0bip4AaABAg,jeeva shiva mission,1 year ago,1529105253799,.dk's wonderful style,0
UgwSofn_-QwF2ZtRZhZ4AaABAg,meena,1 year ago,1529105253800,i like this ad very much,0
UgyWTUt0nKH0hXhEPXR4AaABAg,Technical Server,1 year ago,1529105253802,SRH is best Team,0
UgzCMGqIpxF9quehMtF4AaABAg,Roshinee Venkatesh,1 year ago,1529105253803,Hardik,0
UgzrMWoJ5TYDrH90cP54AaABAg,Veesam Koushik Reddy Koushik,1 year ago,1529105253805,I like Dhoni sir and virat sir dance and Jio especially,0
UgytKeN3FmwUiKsDymF4AaABAg,Nitish Chandra,1 year ago,1529105253806,Nice song......,0
Ugybg06NUSATBfWSwSJ4AaABAg,meher seshu lanka,1 year ago,1529105253808,Cool team cool captain Dhoni go CSK!!,0
UgwmwJ2LylYwya9AkFh4AaABAg,meher seshu lanka,1 year ago,1529105253809,Fire bat of Gambhir was awesome,0
UgzU0eT2XTakmEbwPnx4AaABAg,meher seshu lanka,1 year ago,1529105253811,Missing raina but all are awesome csk zindabad rcb zindabad rr zindabad Srh zindabad dd zindabad mi zindabad kX1p zindabad kkr zindabad hamara IPL zindabad:),0
UgyXi9uyog04WyemNVp4AaABAg,Gaurav Khobarekar vines,1 year ago,1529105253812,SRH is best,0
UgwxWKWWjPi4wuLgrOB4AaABAg,Hrittika Saha,1 year ago,1529105253814,0:29 jaddu looks like the real king of chennai.ğŸ’˜ğŸ’˜ğŸ’˜ğŸ’˜,0
Ugx38y7iJVOwG2LbTMR4AaABAg,Sanmeet Lagare,1 year ago,1529105253816,Anyone know this girl in blue at 0:19? Thanks in advance :),0
UgyNTiNGpidy0Prz1fh4AaABAg,Waqar techinal apps editing,1 year ago,1529105255462,depika looks soo like  porn star,0
Ugyw6g9Rc5df5fF2sHt4AaABAg,vaasu emme,1 year ago,1529105255464,I hope CSK will be won 2018 IPL title,0
UgxAGQH9xK_vvsyYCzJ4AaABAg,vinayak jadhav,1 year ago,1529105255465,Dhawan is the best dancer....his pelvic moves are so real,1
Ugwvx9ZcIyhhTeIklnV4AaABAg,Ramesh Kale,1 year ago,1529105255467,only csk,0
UgwucXQxt0xgSxIHvcx4AaABAg,Rigith Rigu,1 year ago,1529105255484,0:27 ğŸ˜ğŸ˜ Dk love u so much,0
UgxPmlP8jGRNYLTG8qd4AaABAg,Virupakshi Kv,1 year ago,1529105255486,I'm,0
UgxvFIQ6TQf5-EX1Ztl4AaABAg,ajithmurugan 376,1 year ago,1529105255488,csk,0
UgyoAfenWqU9GYa11n54AaABAg,beauty with me,1 year ago,1529105255490,Love Hyderabad leave me a like if u love Hyderabad,0
Ugws2u0Tm0bNh5ngKhB4AaABAg,Mendesarmy fans,1 year ago,1529105255492,0:42 namma rcb. esala namde cupu   . and all r chipu,0
Ugygg2R5ixZxZN2HJuN4AaABAg,Ujjwal Khanal,1 year ago,1529105255493,Mi and csk,0
Ugy1VASIgK35LIrah-l4AaABAg,Rizkiya Beejan,1 year ago,1529105255495,I love csk,0
Ugzj_-x9TbR-pwBHyQ94AaABAg,Pk Pk,1 year ago,1529105255497,rr,0
Ugyn7GtCNiWymlUi2GR4AaABAg,Mohamed Dhilip Mafaz,1 year ago,1529105255498,mi and dd,0
Ugyl2vW8IIfvSAmcpLl4AaABAg,Akshay Patyal,1 year ago,1529105255500,Chris gayle eating bat at 0:15 and yuvraj singh throwing dice at 0:20 Moments are great,0
Ugy4nQr7RHe0nojabbV4AaABAg,Babulal Sahu,1 year ago,1529105255502,RCB is my fav ret team,0
UgzHv3dIc2M18QhSs7Z4AaABAg,The Legendary Gamer 4761,1 year ago,1529105255503,0:26,1
UgxoP8FVLrfu8lSmu4F4AaABAg,The Legendary Gamer 4761,1 year ago,1529105255505,0:25,0
UgwvSHQt-42NGc_OWtV4AaABAg,ambarish nayak,1 year ago,1529105255507,Plz anybody can tell the name girl who is in blue outfit along with deepika?,0
UgxLYEoxpuFVcBC7_bl4AaABAg,Raj Raj,1 year ago,1529105255508,Ajinkya's dance was so cool...stokes and unadkat was so attractive...marvelous perfomence.rajasthan royels is the best team in IPL,0
UgzatcIHae8VRclyjdd4AaABAg,Pk Pk,1 year ago,1529105255510,rr,0
Ugx-HpL8zxEMuwiDT5t4AaABAg,Nitesh morwani,1 year ago,1529105256549,I just love this add only for Deepika ğŸ˜ğŸ˜ğŸ˜ğŸ˜˜,0
Ugx-cMGd1gQqchrCnU94AaABAg,Nagaraj Madiwal,1 year ago,1529105256551,à²ˆ à²¸à²² à²•à²ªà³à²ªà³ à²¨à²®à³à²¦à³† âœŠ,0
Ugy1VI12WjN3iTtAD8d4AaABAg,Beast5689,1 year ago,1529105256552,Indians ki baat hi alag hai,0
UgwlVUk71Fgh_FBp_cJ4AaABAg,Riju Barbhuiya,1 year ago,1529105256554,v. kohli and m. S dhoni is stylist,0
Ugyl6ZLkavaqsfaNUI54AaABAg,vasundhara dabholkar,1 year ago,1529105256556,Ankit tiwari has done a great job..  ğŸ’•,1
Ugy-QN1y2a93VotLAYJ4AaABAg,Marsha Rahman,1 year ago,1529105256558,â¤â¤â¤ğŸ˜,0
UgwgeyFg8ZcHCtTNgq54AaABAg,[IMRAN MONDAL],1 year ago,1529105256559,Dhoni! Dhoni! Dhoni! Dhoni! Dhoni!,1
UgxKjHsQknQRESN_EkB4AaABAg,[IMRAN MONDAL],1 year ago,1529105256561,CSK is the best team in ipl history,14
Ugy2zJjCiUyyIgYk9dt4AaABAg,Yo Pink!,1 year ago,1529105256562,#rcbian #viratian,1
UgwQ8AmJSjjX5gqF1v94AaABAg,ambarish nayak,1 year ago,1529105256564,Anybody knows the name of the girl in green dress in this add?,0
UgyST10MUuHw8wOMaAl4AaABAg,Technical Aadesh,1 year ago,1529105256566,Jio,0
